iData,roiFileName,roiHemi,conName,mean_activation
23,SMA,L,stop_as_right_vs_no_signal_slow,0.348337923225604
24,SMA,L,stop_as_right_vs_no_signal_slow,2.5384903392858
25,SMA,L,stop_as_right_vs_no_signal_slow,-0.0774527408859946
26,SMA,L,stop_as_right_vs_no_signal_slow,2.87526900427682
27,SMA,L,stop_as_right_vs_no_signal_slow,1.22068862940954
28,SMA,L,stop_as_right_vs_no_signal_slow,2.18784091033434
29,SMA,L,stop_as_right_vs_no_signal_slow,1.06008333874785
30,SMA,L,stop_as_right_vs_no_signal_slow,1.00953467255053
1,Striatum,L,stop_as_right_vs_no_signal_slow,1.42014585600959
2,Striatum,L,stop_as_right_vs_no_signal_slow,1.61446783939997
3,Striatum,L,stop_as_right_vs_no_signal_slow,3.44607971774207
4,Striatum,L,stop_as_right_vs_no_signal_slow,2.65116658806801
5,Striatum,L,stop_as_right_vs_no_signal_slow,6.50136221779717
6,Striatum,L,stop_as_right_vs_no_signal_slow,-1.00776877005895
7,Striatum,L,stop_as_right_vs_no_signal_slow,4.44029435846541
8,Striatum,L,stop_as_right_vs_no_signal_slow,1.75879626638359
9,Striatum,L,stop_as_right_vs_no_signal_slow,0.186600509617064
10,Striatum,L,stop_as_right_vs_no_signal_slow,1.92038226789898
11,Striatum,L,stop_as_right_vs_no_signal_slow,0.257417156050603
12,Striatum,L,stop_as_right_vs_no_signal_slow,2.31012214554681
13,Striatum,L,stop_as_right_vs_no_signal_slow,2.59232390009695
14,Striatum,L,stop_as_right_vs_no_signal_slow,2.34919934140311
15,Striatum,L,stop_as_right_vs_no_signal_slow,-0.349221463004748
16,Striatum,L,stop_as_right_vs_no_signal_slow,4.66175335645676
17,Striatum,L,stop_as_right_vs_no_signal_slow,2.95177935891681
18,Striatum,L,stop_as_right_vs_no_signal_slow,6.1922470331192
19,Striatum,L,stop_as_right_vs_no_signal_slow,4.19572498401006
20,Striatum,L,stop_as_right_vs_no_signal_slow,-0.0654172036382887
21,Striatum,L,stop_as_right_vs_no_signal_slow,1.2776507669025
22,Striatum,L,stop_as_right_vs_no_signal_slow,0.0262857071227498
23,Striatum,L,stop_as_right_vs_no_signal_slow,4.570993800958
24,Striatum,L,stop_as_right_vs_no_signal_slow,0.783128735091951
25,Striatum,L,stop_as_right_vs_no_signal_slow,2.71121782726712
