trial,t_d,r_type,accuracy,mean,md,P_25,P_75,IQR,sd,min,max
stop-both,NA,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,0.066,bimanual,correct,0.8458792113683418,0.866600790513834,0.7801383399209487,0.9139492753623187,0.13381093544137002,0.09191496150796263,0.6666666666666666,1
ignore,0.066,bimanual,error,0.11181006493506493,0.11011904761904762,0.043478260869565216,0.16666666666666666,0.12318840579710144,0.07859333617263004,0,0.2857142857142857
ignore,0.066,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.066,unimanual,error,0.025270415725578768,0,0,0.041666666666666664,0.041666666666666664,0.03712786601792955,0,0.13043478260869565
ignore,0.066,no,correct,0,0,0,0,0,0,0,0
ignore,0.066,no,error,0.017040307971014492,0,0,0.041666666666666664,0.041666666666666664,0.029770586471024086,0,0.08333333333333333
ignore,0.066,other,correct,0,0,0,0,0,0,0,0
ignore,0.066,other,error,0,0,0,0,0,0,0,0
ignore,0.166,bimanual,correct,0.921962491765481,0.9365942028985508,0.875,1,0.125,0.0753954668369451,0.7391304347826086,1
ignore,0.166,bimanual,error,0.041115983201581024,0.041666666666666664,0,0.08333333333333333,0.08333333333333333,0.04785012166961218,0,0.13636363636363635
ignore,0.166,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.166,unimanual,error,0.017271903820816864,0,0,0.041666666666666664,0.041666666666666664,0.03225745402587508,0,0.13043478260869565
ignore,0.166,no,correct,0,0,0,0,0,0,0,0
ignore,0.166,no,error,0.019649621212121212,0,0,0,0,0.04494704365325323,0,0.20833333333333334
ignore,0.166,other,correct,0,0,0,0,0,0,0,0
ignore,0.166,other,error,0,0,0,0,0,0,0,0
ignore,0.266,bimanual,correct,0.9575356142951251,0.9583333333333334,0.9560276679841898,1,0.04397233201581019,0.05290288049885193,0.8260869565217391,1
ignore,0.266,bimanual,error,0.017040307971014492,0,0,0.041666666666666664,0.041666666666666664,0.03496154064404294,0,0.16666666666666666
ignore,0.266,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.266,unimanual,error,0.013303894927536232,0,0,0.010416666666666666,0.010416666666666666,0.025419063345322887,0,0.08695652173913043
ignore,0.266,no,correct,0,0,0,0,0,0,0,0
ignore,0.266,no,error,0.01212018280632411,0,0,0.010416666666666666,0.010416666666666666,0.02258046587509596,0,0.08695652173913043
ignore,0.266,other,correct,0,0,0,0,0,0,0,0
ignore,0.266,other,error,0,0,0,0,0,0,0,0
ignore,0.366,bimanual,correct,0.9724298007246377,1,0.9578804347826086,1,0.04211956521739135,0.04201642533048663,0.875,1
ignore,0.366,bimanual,error,0.01183197463768116,0,0,0,0,0.028591971036715222,0,0.125
ignore,0.366,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.366,unimanual,error,0.010529891304347826,0,0,0,0,0.026068109377238084,0,0.125
ignore,0.366,no,correct,0,0,0,0,0,0,0,0
ignore,0.366,no,error,0.005208333333333333,0,0,0,0,0.01755049039946317,0,0.08333333333333333
ignore,0.366,other,correct,0,0,0,0,0,0,0,0
ignore,0.366,other,error,0,0,0,0,0,0,0,0
ignore,0.466,bimanual,correct,0.9749773550724637,1,0.9583333333333334,1,0.04166666666666663,0.04027898756260859,0.8260869565217391,1
ignore,0.466,bimanual,error,0.00390625,0,0,0,0,0.01233935754501246,0,0.041666666666666664
ignore,0.466,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.466,unimanual,error,0.012001811594202898,0,0,0,0,0.03334625717508303,0,0.17391304347826086
ignore,0.466,no,correct,0,0,0,0,0,0,0,0
ignore,0.466,no,error,0.009114583333333332,0,0,0,0,0.020451815804794982,0,0.08333333333333333
ignore,0.466,other,correct,0,0,0,0,0,0,0,0
ignore,0.466,other,error,0,0,0,0,0,0,0,0
ignore,NA,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,NA,bimanual,correct,0.9791988539516995,0.9867638946084335,0.9704237250326367,0.9930240441022216,0.022600319069584818,0.02037196452361654,0.9151079136690647,0.9972183588317107
no-signal,NA,bimanual,error,0.01022571643647498,0.00697350069735007,0.0028011368860042917,0.01433428524613188,0.011533148360127587,0.008742545246106112,0.0013908205841446453,0.03333333333333333
no-signal,NA,unimanual,correct,0,0,0,0,0,0,0,0
no-signal,NA,unimanual,error,0.006421739607199755,0.0034858578775128564,0.001394214519644293,0.0077081976256286565,0.006313983105984363,0.009181427582767849,0,0.04748201438848921
no-signal,NA,no,correct,0,0,0,0,0,0,0,0
no-signal,NA,no,error,0.00415369000462584,0,0,0.0028092577813248203,0.0028092577813248203,0.009971515185976108,0,0.05013927576601671
no-signal,NA,other,correct,0,0,0,0,0,0,0,0
no-signal,NA,other,error,0,0,0,0,0,0,0,0
