iData,ROI,Hemisphere,contrast,mean_activation,z_score,is_outlier,count,BF10,BF01
18,SMA,L,"S[""AS, left""] - S[""SS""]",2.49616601094604,1.1032452945978137,FALSE,30,48.02481529313992,0.020822568372123325
19,SMA,L,"S[""AS, left""] - S[""SS""]",0.274381667730354,-0.49934067343479444,FALSE,30,48.02481529313992,0.020822568372123325
20,SMA,L,"S[""AS, left""] - S[""SS""]",0.995850154368037,0.021058741834209953,FALSE,30,48.02481529313992,0.020822568372123325
21,SMA,L,"S[""AS, left""] - S[""SS""]",0.635747260281018,-0.2386855699276296,FALSE,30,48.02481529313992,0.020822568372123325
22,SMA,L,"S[""AS, left""] - S[""SS""]",2.8029391589678,1.3245225503720193,FALSE,30,48.02481529313992,0.020822568372123325
23,SMA,L,"S[""AS, left""] - S[""SS""]",1.02477768847817,0.041924340422228916,FALSE,30,48.02481529313992,0.020822568372123325
24,SMA,L,"S[""AS, left""] - S[""SS""]",-1.36432808637619,-1.6813515493456117,FALSE,30,48.02481529313992,0.020822568372123325
25,SMA,L,"S[""AS, left""] - S[""SS""]",0.869778413325548,-0.0698775381774275,FALSE,30,48.02481529313992,0.020822568372123325
26,SMA,L,"S[""AS, left""] - S[""SS""]",0.850262311952455,-0.0839546155979809,FALSE,30,48.02481529313992,0.020822568372123325
27,SMA,L,"S[""AS, left""] - S[""SS""]",0.258048398096276,-0.5111219558115446,FALSE,30,48.02481529313992,0.020822568372123325
28,SMA,L,"S[""AS, left""] - S[""SS""]",1.82289144867345,0.6176084372556228,FALSE,30,48.02481529313992,0.020822568372123325
29,SMA,L,"S[""AS, left""] - S[""SS""]",0.105047841434893,-0.6214821471394872,FALSE,30,48.02481529313992,0.020822568372123325
30,SMA,L,"S[""AS, left""] - S[""SS""]",0.619210886242597,-0.25061335269243035,FALSE,30,48.02481529313992,0.020822568372123325
1,Striatum,L,"S[""AS, left""] - S[""SS""]",1.03126471903589,-0.16669961445111933,FALSE,29,205.11930960429598,0.004875211416853639
2,Striatum,L,"S[""AS, left""] - S[""SS""]",2.04272609617975,0.4394072708332751,FALSE,29,205.11930960429598,0.004875211416853639
3,Striatum,L,"S[""AS, left""] - S[""SS""]",-0.00907607956065072,-0.7901121691174994,FALSE,29,205.11930960429598,0.004875211416853639
4,Striatum,L,"S[""AS, left""] - S[""SS""]",1.08448906408416,-0.13480552266720675,FALSE,29,205.11930960429598,0.004875211416853639
6,Striatum,L,"S[""AS, left""] - S[""SS""]",-1.48296802904871,-1.6733253880666321,FALSE,29,205.11930960429598,0.004875211416853639
7,Striatum,L,"S[""AS, left""] - S[""SS""]",3.43911982244915,1.2761805487707447,FALSE,29,205.11930960429598,0.004875211416853639
8,Striatum,L,"S[""AS, left""] - S[""SS""]",-0.281994887524181,-0.9536557036194379,FALSE,29,205.11930960429598,0.004875211416853639
9,Striatum,L,"S[""AS, left""] - S[""SS""]",1.86640259623528,0.33374739120883973,FALSE,29,205.11930960429598,0.004875211416853639
10,Striatum,L,"S[""AS, left""] - S[""SS""]",1.14670661091805,-0.0975223555847316,FALSE,29,205.11930960429598,0.004875211416853639
11,Striatum,L,"S[""AS, left""] - S[""SS""]",0.89170384225953,-0.25032990448684805,FALSE,29,205.11930960429598,0.004875211416853639
12,Striatum,L,"S[""AS, left""] - S[""SS""]",2.93379510773553,0.9733703814095694,FALSE,29,205.11930960429598,0.004875211416853639
13,Striatum,L,"S[""AS, left""] - S[""SS""]",-0.542259380221367,-1.1096162816340525,FALSE,29,205.11930960429598,0.004875211416853639
14,Striatum,L,"S[""AS, left""] - S[""SS""]",-1.21205255554782,-1.510982329271203,FALSE,29,205.11930960429598,0.004875211416853639
15,Striatum,L,"S[""AS, left""] - S[""SS""]",-0.333364905582534,-0.9844386107535409,FALSE,29,205.11930960429598,0.004875211416853639
16,Striatum,L,"S[""AS, left""] - S[""SS""]",3.06353409422768,1.0511150138588683,FALSE,29,205.11930960429598,0.004875211416853639
17,Striatum,L,"S[""AS, left""] - S[""SS""]",0.932637140982681,-0.225801084351805,FALSE,29,205.11930960429598,0.004875211416853639
18,Striatum,L,"S[""AS, left""] - S[""SS""]",3.29956483840942,1.192553789891346,FALSE,29,205.11930960429598,0.004875211416853639
19,Striatum,L,"S[""AS, left""] - S[""SS""]",-1.35128327624665,-1.5944147769806392,FALSE,29,205.11930960429598,0.004875211416853639
20,Striatum,L,"S[""AS, left""] - S[""SS""]",0.356184386544757,-0.5712339317162635,FALSE,29,205.11930960429598,0.004875211416853639
21,Striatum,L,"S[""AS, left""] - S[""SS""]",2.22072852651278,0.5460732306614774,FALSE,29,205.11930960429598,0.004875211416853639
22,Striatum,L,"S[""AS, left""] - S[""SS""]",1.69620432125198,0.23175798393932953,FALSE,29,205.11930960429598,0.004875211416853639
23,Striatum,L,"S[""AS, left""] - S[""SS""]",2.5220836268531,0.7266568944169929,FALSE,29,205.11930960429598,0.004875211416853639
24,Striatum,L,"S[""AS, left""] - S[""SS""]",1.15569113940001,-0.09213847766610375,FALSE,29,205.11930960429598,0.004875211416853639
25,Striatum,L,"S[""AS, left""] - S[""SS""]",1.41488144298395,0.0631784045709474,FALSE,29,205.11930960429598,0.004875211416853639
26,Striatum,L,"S[""AS, left""] - S[""SS""]",1.30603841774993,-0.002044557472159494,FALSE,29,205.11930960429598,0.004875211416853639
27,Striatum,L,"S[""AS, left""] - S[""SS""]",0.644986229638259,-0.39817266656337935,FALSE,29,205.11930960429598,0.004875211416853639
28,Striatum,L,"S[""AS, left""] - S[""SS""]",1.21646566523446,-0.055720024732022665,FALSE,29,205.11930960429598,0.004875211416853639
29,Striatum,L,"S[""AS, left""] - S[""SS""]",2.64121428794331,0.7980446068565437,FALSE,29,205.11930960429598,0.004875211416853639
30,Striatum,L,"S[""AS, left""] - S[""SS""]",1.00021925568581,-0.18530326014489987,FALSE,29,205.11930960429598,0.004875211416853639
1,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.464604909420013,-0.8334709674082186,FALSE,30,3.9831596204778354,0.2510569736796127
2,preSMA,L,"S[""AS, left""] - S[""SS""]",1.77826558589935,0.863493091729454,FALSE,30,3.9831596204778354,0.2510569736796127
3,preSMA,L,"S[""AS, left""] - S[""SS""]",0.364236011505127,-0.20636688070870604,FALSE,30,3.9831596204778354,0.2510569736796127
4,preSMA,L,"S[""AS, left""] - S[""SS""]",2.31291403889656,1.268010076059677,FALSE,30,3.9831596204778354,0.2510569736796127
5,preSMA,L,"S[""AS, left""] - S[""SS""]",3.65846045970917,2.286055442827591,FALSE,30,3.9831596204778354,0.2510569736796127
6,preSMA,L,"S[""AS, left""] - S[""SS""]",-2.11465725183487,-2.0819066334965703,FALSE,30,3.9831596204778354,0.2510569736796127
7,preSMA,L,"S[""AS, left""] - S[""SS""]",1.95963258266449,1.000716027991923,FALSE,30,3.9831596204778354,0.2510569736796127
8,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.0298756796121597,-0.5045532345386332,FALSE,30,3.9831596204778354,0.2510569736796127
9,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.213634132221341,-0.6435855550811227,FALSE,30,3.9831596204778354,0.2510569736796127
10,preSMA,L,"S[""AS, left""] - S[""SS""]",0.753257527500391,0.08796822791789097,FALSE,30,3.9831596204778354,0.2510569736796127
11,preSMA,L,"S[""AS, left""] - S[""SS""]",0.297936934232712,-0.25652900621709823,FALSE,30,3.9831596204778354,0.2510569736796127
12,preSMA,L,"S[""AS, left""] - S[""SS""]",0.513398966789246,-0.09350964057818871,FALSE,30,3.9831596204778354,0.2510569736796127
13,preSMA,L,"S[""AS, left""] - S[""SS""]",0.0294568085670471,-0.4596620559398491,FALSE,30,3.9831596204778354,0.2510569736796127
14,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.780510327965021,-1.0724861680078366,FALSE,30,3.9831596204778354,0.2510569736796127
15,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.498512495160103,-0.8591255713869778,FALSE,30,3.9831596204778354,0.2510569736796127
16,preSMA,L,"S[""AS, left""] - S[""SS""]",1.15488269805908,0.3918393079046505,FALSE,30,3.9831596204778354,0.2510569736796127
17,preSMA,L,"S[""AS, left""] - S[""SS""]",0.0583903500437737,-0.4377708321299863,FALSE,30,3.9831596204778354,0.2510569736796127
18,preSMA,L,"S[""AS, left""] - S[""SS""]",0.424527453184128,-0.16075015436789633,FALSE,30,3.9831596204778354,0.2510569736796127
19,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.0224378824979067,-0.4989257699086488,FALSE,30,3.9831596204778354,0.2510569736796127
20,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.254414409995079,-0.6744400631091623,FALSE,30,3.9831596204778354,0.2510569736796127
21,preSMA,L,"S[""AS, left""] - S[""SS""]",0.866754521727562,0.17384047084301832,FALSE,30,3.9831596204778354,0.2510569736796127
22,preSMA,L,"S[""AS, left""] - S[""SS""]",3.55101451992989,2.2047614499349044,FALSE,30,3.9831596204778354,0.2510569736796127
23,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.690801692605019,-1.004612284822025,FALSE,30,3.9831596204778354,0.2510569736796127
24,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.629423554465175,-0.958173359945414,FALSE,30,3.9831596204778354,0.2510569736796127
25,preSMA,L,"S[""AS, left""] - S[""SS""]",1.24670154094696,0.4613097818609074,FALSE,30,3.9831596204778354,0.2510569736796127
26,preSMA,L,"S[""AS, left""] - S[""SS""]",1.53334047555923,0.678181853164906,FALSE,30,3.9831596204778354,0.2510569736796127
27,preSMA,L,"S[""AS, left""] - S[""SS""]",0.394942960739136,-0.18313389007254427,FALSE,30,3.9831596204778354,0.2510569736796127
28,preSMA,L,"S[""AS, left""] - S[""SS""]",2.88987752914429,1.704542773078198,FALSE,30,3.9831596204778354,0.2510569736796127
29,preSMA,L,"S[""AS, left""] - S[""SS""]",-0.411724400445819,-0.7934613799864816,FALSE,30,3.9831596204778354,0.2510569736796127
30,preSMA,L,"S[""AS, left""] - S[""SS""]",1.43231412410736,0.6017449443922382,FALSE,30,3.9831596204778354,0.2510569736796127
1,IFG,L,"S[""AS, right""] - S[""SS""]",0.980127001611086,0.3109292655354509,FALSE,29,4.184953862432433,0.23895126036557235
2,IFG,L,"S[""AS, right""] - S[""SS""]",0.294606412259432,-0.1507170863061987,FALSE,29,4.184953862432433,0.23895126036557235
3,IFG,L,"S[""AS, right""] - S[""SS""]",-0.919547390479308,-0.9683579891696991,FALSE,29,4.184953862432433,0.23895126036557235
4,IFG,L,"S[""AS, right""] - S[""SS""]",1.63130468015487,0.7494482602526837,FALSE,29,4.184953862432433,0.23895126036557235
5,IFG,L,"S[""AS, right""] - S[""SS""]",3.44826501149398,1.9730338409527497,FALSE,29,4.184953862432433,0.23895126036557235
7,IFG,L,"S[""AS, right""] - S[""SS""]",1.10535024106503,0.3952576614402049,FALSE,29,4.184953862432433,0.23895126036557235
8,IFG,L,"S[""AS, right""] - S[""SS""]",0.46543557712665,-0.03567654343396642,FALSE,29,4.184953862432433,0.23895126036557235
9,IFG,L,"S[""AS, right""] - S[""SS""]",-0.311647353264002,-0.5589832179024121,FALSE,29,4.184953862432433,0.23895126036557235
10,IFG,L,"S[""AS, right""] - S[""SS""]",0.579748656887275,0.04130468376620634,FALSE,29,4.184953862432433,0.23895126036557235
11,IFG,L,"S[""AS, right""] - S[""SS""]",0.751400897995784,0.15689950633474786,FALSE,29,4.184953862432433,0.23895126036557235
12,IFG,L,"S[""AS, right""] - S[""SS""]",-0.463656981690572,-0.6613502240842396,FALSE,29,4.184953862432433,0.23895126036557235
13,IFG,L,"S[""AS, right""] - S[""SS""]",0.279189726481071,-0.16109906003189017,FALSE,29,4.184953862432433,0.23895126036557235
14,IFG,L,"S[""AS, right""] - S[""SS""]",-1.07114121317863,-1.070444981592581,FALSE,29,4.184953862432433,0.23895126036557235
15,IFG,L,"S[""AS, right""] - S[""SS""]",0.0580271201638075,-0.31003537493778954,FALSE,29,4.184953862432433,0.23895126036557235
16,IFG,L,"S[""AS, right""] - S[""SS""]",1.62870732637552,0.7476991386138822,FALSE,29,4.184953862432433,0.23895126036557235
17,IFG,L,"S[""AS, right""] - S[""SS""]",-1.42816598541462,-1.3108742060097818,FALSE,29,4.184953862432433,0.23895126036557235
18,IFG,L,"S[""AS, right""] - S[""SS""]",2.66530871849794,1.4457719002794114,FALSE,29,4.184953862432433,0.23895126036557235
19,IFG,L,"S[""AS, right""] - S[""SS""]",1.92142464335148,0.9448221479032627,FALSE,29,4.184953862432433,0.23895126036557235
20,IFG,L,"S[""AS, right""] - S[""SS""]",0.224538851242799,-0.19790229770351525,FALSE,29,4.184953862432433,0.23895126036557235
21,IFG,L,"S[""AS, right""] - S[""SS""]",0.922207073523448,0.27192456762276335,FALSE,29,4.184953862432433,0.23895126036557235
22,IFG,L,"S[""AS, right""] - S[""SS""]",3.54309129714966,2.036892183811629,FALSE,29,4.184953862432433,0.23895126036557235
23,IFG,L,"S[""AS, right""] - S[""SS""]",-2.31092441082001,-1.9053453465940497,FALSE,29,4.184953862432433,0.23895126036557235
24,IFG,L,"S[""AS, right""] - S[""SS""]",1.25332694443373,0.49490879713012303,FALSE,29,4.184953862432433,0.23895126036557235
25,IFG,L,"S[""AS, right""] - S[""SS""]",0.446374084800482,-0.0485130191426764,FALSE,29,4.184953862432433,0.23895126036557235
26,IFG,L,"S[""AS, right""] - S[""SS""]",1.20267367706849,0.460797646493293,FALSE,29,4.184953862432433,0.23895126036557235
27,IFG,L,"S[""AS, right""] - S[""SS""]",0.333229303359985,-0.1247074856448811,FALSE,29,4.184953862432433,0.23895126036557235
28,IFG,L,"S[""AS, right""] - S[""SS""]",1.68472854391887,0.7854251983505771,FALSE,29,4.184953862432433,0.23895126036557235
29,IFG,L,"S[""AS, right""] - S[""SS""]",-0.0451337740971492,-0.3795064473286774,FALSE,29,4.184953862432433,0.23895126036557235
30,IFG,L,"S[""AS, right""] - S[""SS""]",0.0351212282593434,-0.32546076346386726,FALSE,29,4.184953862432433,0.23895126036557235
1,IFJ,L,"S[""AS, right""] - S[""SS""]",1.14418158818174,0.07925391246255553,FALSE,29,449.90056000415865,0.0022227133924677856
2,IFJ,L,"S[""AS, right""] - S[""SS""]",-0.34260483638004,-0.8568766359659744,FALSE,29,449.90056000415865,0.0022227133924677856
3,IFJ,L,"S[""AS, right""] - S[""SS""]",0.2450017730395,-0.48689982662143516,FALSE,29,449.90056000415865,0.0022227133924677856
4,IFJ,L,"S[""AS, right""] - S[""SS""]",2.32529928066112,0.8229251855879159,FALSE,29,449.90056000415865,0.0022227133924677856
5,IFJ,L,"S[""AS, right""] - S[""SS""]",4.87595710047969,2.4289048100145036,FALSE,29,449.90056000415865,0.0022227133924677856
7,IFJ,L,"S[""AS, right""] - S[""SS""]",3.11436026184647,1.3197444172259176,FALSE,29,449.90056000415865,0.0022227133924677856
8,IFJ,L,"S[""AS, right""] - S[""SS""]",1.67947024327737,0.4162895848254761,FALSE,29,449.90056000415865,0.0022227133924677856
9,IFJ,L,"S[""AS, right""] - S[""SS""]",0.631157191539252,-0.24376343680312715,FALSE,29,449.90056000415865,0.0022227133924677856
10,IFJ,L,"S[""AS, right""] - S[""SS""]",1.03556129225978,0.010862934772626788,FALSE,29,449.90056000415865,0.0022227133924677856
11,IFJ,L,"S[""AS, right""] - S[""SS""]",-0.115221313028424,-0.7137083510648671,FALSE,29,449.90056000415865,0.0022227133924677856
12,IFJ,L,"S[""AS, right""] - S[""SS""]",-0.264354689253701,-0.8076077215248276,FALSE,29,449.90056000415865,0.0022227133924677856
13,IFJ,L,"S[""AS, right""] - S[""SS""]",0.289188714008088,-0.4590782480820055,FALSE,29,449.90056000415865,0.0022227133924677856
14,IFJ,L,"S[""AS, right""] - S[""SS""]",0.353722568463396,-0.4184455710778013,FALSE,29,449.90056000415865,0.0022227133924677856
15,IFJ,L,"S[""AS, right""] - S[""SS""]",0.355070447480237,-0.4175969012874361,FALSE,29,449.90056000415865,0.0022227133924677856
16,IFJ,L,"S[""AS, right""] - S[""SS""]",1.75475788006076,0.4636932034943081,FALSE,29,449.90056000415865,0.0022227133924677856
17,IFJ,L,"S[""AS, right""] - S[""SS""]",1.36363000436514,0.21742598802081073,FALSE,29,449.90056000415865,0.0022227133924677856
18,IFJ,L,"S[""AS, right""] - S[""SS""]",1.32511084443993,0.19317303432813684,FALSE,29,449.90056000415865,0.0022227133924677856
19,IFJ,L,"S[""AS, right""] - S[""SS""]",0.719440944768764,-0.18817702777842063,FALSE,29,449.90056000415865,0.0022227133924677856
20,IFJ,L,"S[""AS, right""] - S[""SS""]",-0.435748371813032,-0.9155229266954307,FALSE,29,449.90056000415865,0.0022227133924677856
21,IFJ,L,"S[""AS, right""] - S[""SS""]",0.729203358982448,-0.18203028469490334,FALSE,29,449.90056000415865,0.0022227133924677856
22,IFJ,L,"S[""AS, right""] - S[""SS""]",4.67637640900082,2.3032421196082957,FALSE,29,449.90056000415865,0.0022227133924677856
23,IFJ,L,"S[""AS, right""] - S[""SS""]",1.18500190973282,0.10495575461645087,FALSE,29,449.90056000415865,0.0022227133924677856
24,IFJ,L,"S[""AS, right""] - S[""SS""]",1.41798239808392,0.25164807621035123,FALSE,29,449.90056000415865,0.0022227133924677856
25,IFJ,L,"S[""AS, right""] - S[""SS""]",1.99249919255575,0.6133830994830011,FALSE,29,449.90056000415865,0.0022227133924677856
26,IFJ,L,"S[""AS, right""] - S[""SS""]",0.845211958443677,-0.10898738354783723,FALSE,29,449.90056000415865,0.0022227133924677856
27,IFJ,L,"S[""AS, right""] - S[""SS""]",1.91881226610254,0.5669873416706523,FALSE,29,449.90056000415865,0.0022227133924677856
28,IFJ,L,"S[""AS, right""] - S[""SS""]",1.85082264741262,0.5241787997172235,FALSE,29,449.90056000415865,0.0022227133924677856
29,IFJ,L,"S[""AS, right""] - S[""SS""]",-0.250971560676893,-0.7991812553644378,FALSE,29,449.90056000415865,0.0022227133924677856
30,IFJ,L,"S[""AS, right""] - S[""SS""]",-0.114990965635688,-0.7135633166284956,FALSE,29,449.90056000415865,0.0022227133924677856
1,M1,L,"S[""AS, right""] - S[""SS""]",-0.0161730663643943,-0.2105589241474322,FALSE,29,0.31996046994502797,3.1253860833865157
2,M1,L,"S[""AS, right""] - S[""SS""]",0.39404036435816,0.06412358005071368,FALSE,29,0.31996046994502797,3.1253860833865157
3,M1,L,"S[""AS, right""] - S[""SS""]",-0.972980274094476,-0.8512454062823629,FALSE,29,0.31996046994502797,3.1253860833865157
4,M1,L,"S[""AS, right""] - S[""SS""]",1.44290173053741,0.7664503325203628,FALSE,29,0.31996046994502797,3.1253860833865157
